Product_Family,Product_Family_Id,Product_Group,Product_Group_id,Product_Name,Product_Name_id,Product_Size,Produt_Type
Cyperaceae,1053,Australian Flatsedge,3300,Asclepias scaposa Vail,2074,Large,Outdoor
Asteraceae,1020,Prairie False Willow,3116,Usnea stuppea (Rasanen) Mot.,2075,Small,Indoor
Asteraceae,1020,Prairie Fleabane,3117,Usnea mirabilis Mot.,2076,Small,Landscape
Fabaceae,1066,Prairie Lespedeza,3413,Usnea dimorpha (Müll. Arg.) Mot.,2077,Large,Indoor
Onagraceae,1122,Desert Suncup,3597,Kolkwitzia amabilis Graebn.,2078,Medium,Landscape
Rutaceae,1163,Backhous Fuchsia,3843,Packera castoreus (S.L. Welsh) Kartesz,2079,Small,Outdoor
Rhachitheciaceae,1156,Rhachithecium Moss,3789,Ichnanthus P. Beauv.,2080,Small,Outdoor
Rosaceae,1160,Elegant Cinquefoil,3809,Ipomoea tiliacea (Willd.) Choisy,2081,Large,Landscape
Orchidaceae,1125,Guadeloupe Bonnet Orchid,3614,Lotus benthamii Greene,2082,Small,Indoor
Poaceae,1140,Gulf Cockspur Grass,3684,Lotus crassifolius (Benth.) Greene var. crassifolius,2083,Small,Outdoor
Poaceae,1140,Gulf Cockspur Grass,3684,Lupinus polyphyllus Lindl. ssp. polyphyllus,2084,Large,Outdoor
Lycopodiaceae,1104,Yewleaf Clubmoss,3551,Renealmia occidentalis (Sw.) Sweet,2085,Small,Outdoor
Candelariaceae,1036,Eggyolk Lichen,3236,Commelina dianthifolia Delile var. dianthifolia,2086,Small,Indoor
Chenopodiaceae,1041,Valley Saltbush,3267,Veronica persica Poir.,2087,Medium,Outdoor
Pottiaceae,1149,Tortula Moss,3765,Citrus limetta Risso,2088,Large,Indoor
Chenopodiaceae,1041,Fremont's Goosefoot,3264,Dioscorea dumetorum (Kunth) Pax,2089,Small,Outdoor
Polemoniaceae,1141,Downy Phlox,3724,Celastrus L.,2090,Large,Outdoor
Poaceae,1140,Rice Barnyardgrass,3707,Setaria nigrirostris (Nees) T. Dur. & Schinz,2091,Medium,Outdoor
Rosaceae,1160,Lookout Mountain Blackberry,3816,Ballota nigra L. var. alba (L.) Sm.,2092,Medium,Outdoor
Dryopteridaceae,1060,Woodfern,3345,Avicennia germinans (L.) L.,2093,Medium,Outdoor
Brassicaceae,1027,Globe Yellowcress,3192,Diospyros digyna Jacq.,2094,Small,Indoor
Crassulaceae,1049,Manystem Liveforever,3289,Ocotea foeniculacea Mez,2095,Medium,Outdoor
Araliaceae,1014,'ohe Kiko 'ola,3042,Thunbergia alata Bojer ex Sims,2096,Medium,Indoor
Clusiaceae,1044,Bacury,3276,Pterocaulon Elliott,2097,Medium,Outdoor
Scrophulariaceae,1167,Littleleaf Bush Penstemon,3878,Isoetes melanospora Engelm.,2098,Small,Landscape
Funariaceae,1069,Funaria Moss,3446,Cystopteris ×illinoensis R.C. Moran,2099,Small,Outdoor
Gyalectaceae,1078,Dimple Lichen,3460,Silene scaposa B.L. Rob. var. scaposa,2100,Medium,Outdoor
Violaceae,1191,Feltleaf Violet,3941,Fuirena coerulescens Steud.,2101,Small,Indoor
Alismataceae,1005,Guyanese Arrowhead,3016,Baptisia australis (L.) R. Br. var. aberrans (Larisey) M. Mendenhall,2102,Medium,Landscape
Pteridaceae,1151,Goldback Fern,3770,Vaccinium ×margarettiae Ashe (pro sp.),2103,Small,Outdoor
Orchidaceae,1125,Hachuela,3615,Senna artemisioides (Gaudich. ex DC.) Randell ssp. helmsii (Symon) Randell,2104,Medium,Outdoor
Poaceae,1140,Bahiagrass,3663,Solidago uliginosa Nutt. var. linoides (Torr. & A. Gray) Fernald,2105,Large,Outdoor
Ranunculaceae,1155,Yellow Woodland Anemone,3788,Korthalsella remyana v. Tiegh.,2106,Small,Outdoor
Orchidaceae,1125,Wullschlaegelia,3621,Viola lanceolata L. ssp. lanceolata,2107,Large,Indoor
Gomphillaceae,1073,Tricharia Lichen,3453,Salix pedicellaris Pursh,2108,Large,Landscape
Fabaceae,1066,Pentaclethra,3410,Opegrapha bonplandii Fée,2109,Large,Indoor
Rosaceae,1160,Chamise,3803,Borago L.,2110,Large,Outdoor
Selaginellaceae,1168,Riddell's Spikemoss,3896,Dichanthelium boscii (Poir.) Gould & C.A. Clark,2111,Large,Landscape
Poaceae,1140,Slimspike Threeawn,3711,Montia bostockii (A.E. Porsild) S.L. Welsh,2112,Small,Indoor
Cistaceae,1042,Chisos Mountain Pinweed,3270,Brachythecium trachypodium (Brid.) Schimp.,2113,Medium,Indoor
Cactaceae,1032,Chisos Mountain Pricklypear,3217,Brachythecium campestre (Müll. Hal.) Schimp.,2114,Medium,Outdoor
Verbenaceae,1189,Latin American Mock Vervain,3930,Phacelia ramosissima Douglas ex Lehm. var. subglabra M. Peck,2115,Large,Indoor
Grossulariaceae,1077,Orange Gooseberry,3458,Artocarpus altilis (Parkinson) Fosberg,2116,Small,Indoor
Iridaceae,1088,Abbeville Iris,3481,Ruellia caerulea Morong,2117,Large,Indoor
Parmeliaceae,1129,Louisiana Parmotrema Lichen,3638,Stachys latidens Small ex Britton,2118,Large,Indoor
Orchidaceae,1125,Clamshell Orchid,3611,Brassica juncea (L.) Czern.,2119,Medium,Indoor
Fabaceae,1066,Haematoxylum,3398,Lathyrus lanszwertii Kellogg var. brownii (Eastw.) Jeps.,2120,Medium,Indoor
Polemoniaceae,1141,Coral Ipomopsis,3723,Bryum violaceum Crundw. & Nyholm,2121,Medium,Outdoor
Cornaceae,1048,Redosier Dogwood,3286,Plantago coronopus L.,2122,Small,Outdoor
Lecanoraceae,1093,Rim Lichen,3513,Leersia monandra Sw.,2123,Medium,Indoor
Lecanoraceae,1093,Rim Lichen,3513,Setaria adhaerens (Forssk.) Chiov.,2124,Large,Landscape
Pteridaceae,1151,Indian's Dream,3771,Quercus macrocarpa Michx.,2125,Large,Outdoor
Araliaceae,1014,Palo De Vaca,3044,Okenia hypogaea Schltdl. & Cham.,2126,Medium,Indoor
Apiaceae,1011,Spreading Hedgeparsley,3033,Rubus bushii L.H. Bailey,2127,Medium,Landscape
Iridaceae,1088,Annual Blue-eyed Grass,3482,Lomatium marginatum (Benth.) J.M. Coult. & Rose var. purpureum Jeps.,2128,Small,Landscape
Verrucariaceae,1190,Thelidium Lichen,3936,Stenaria butterwickiae (Terrell) Terrell,2129,Large,Indoor
Parmeliaceae,1129,Fendler's Tuckermannopsis Lichen,3635,Carex buxbaumii Wahlenb.,2130,Large,Landscape
Acarosporaceae,1001,Cracked Lichen,3008,Buxbaumia aphylla Hedw.,2131,Medium,Outdoor
Acanthaceae,1000,Night And Afternoon,3005,Bunchosia glandulifera (Jacq.) Kunth,2132,Small,Outdoor
Fabaceae,1066,Michaux's Snoutbean,3405,Antitrichia californica Sull.,2133,Medium,Indoor
Rosaceae,1160,Catalina Ironwood,3801,Mahonia pinnata (Lag.) Fedde ssp. pinnata,2134,Large,Landscape
Lamiaceae,1091,Alabama Skullcap,3489,Acer negundo L. var. californicum (Torr. & A. Gray) Sarg.,2135,Large,Outdoor
Chenopodiaceae,1041,Pitseed Goosefoot,3265,Orobanche californica Cham. & Schltdl. ssp. grandis Heckard,2136,Medium,Landscape
Caryophyllaceae,1039,Baldwin's Nailwort,3247,Helianthella californica A. Gray,2137,Small,Indoor
Ranunculaceae,1155,Eschscholtz's Buttercup,3782,Marah fabaceus (Naud.) Naud. ex Greene,2138,Small,Landscape
Bryaceae,1028,Pohlia Moss,3213,Eschscholzia californica Cham.,2139,Small,Landscape
Campanulaceae,1035,Jasione,3229,Caloncoba Gilg,2140,Medium,Landscape
Rutaceae,1163,Lava Melicope,3845,Phacelia calthifolia Brand,2141,Medium,Outdoor
Cyperaceae,1053,Fringed Sedge,3309,Dryobalanops C.F. Gaertn.,2142,Large,Outdoor
Cyperaceae,1053,Baldwin's Spikerush,3301,Solidago altissima L.,2143,Large,Outdoor
Scrophulariaceae,1167,Ballast Toadflax,3864,Lactuca canadensis L.,2144,Small,Indoor
Physciaceae,1134,Diplotomma Lichen,3648,Spergularia canadensis (Pers.) G. Don,2145,Small,Landscape
Bryaceae,1028,Hagen's Bryum Moss,3210,Acacia holosericea A. Cunn. ex G. Don,2146,Small,Outdoor
Scrophulariaceae,1167,Elmer's Snapdragon,3870,Dudleya candelabrum Rose,2147,Small,Landscape
Fabaceae,1066,Manystem Pea,3404,Aniba bracteata (Nees) Mez,2148,Medium,Outdoor
Scrophulariaceae,1167,Fernleaved Pedicularis,3871,Carex capitata L. ssp. arctogena (Harry Sm.) Hiitonen,2149,Large,Indoor
Malvaceae,1107,Yucatan Flymallow,3562,Amomum Roxb.,2150,Small,Outdoor
Fabaceae,1066,Balloon Sack Clover,3372,Cyclachaena xanthiifolia (Nutt.) Fresen.,2151,Medium,Landscape
Verrucariaceae,1190,Zahlbruckner's Earth Lichen,3937,Kallstroemia pubescens (G. Don) Dandy,2152,Medium,Outdoor
Lecanoraceae,1093,Rim Lichen,3513,Eustachys paspaloides (Vahl) Lanza & Mattei ssp. caribaea (Spreng.) Nowack,2153,Medium,Outdoor
Thelotremataceae,1179,Barnacle Lichen,3912,Elephantopus carolinianus Raeusch.,2154,Small,Outdoor
Scrophulariaceae,1167,Snow Indian Paintbrush,3889,Delphinium carolinianum Walter,2155,Large,Landscape
Acanthaceae,1000,Acanthus,3000,Elytraria caroliniensis (J.F. Gmel.) Pers. var. angustifolia (Fernald) S.F. Blake,2156,Small,Indoor
Lecanoraceae,1093,Rim Lichen,3513,Arthraxon P. Beauv.,2157,Large,Indoor
Anacardiaceae,1008,Smooth Sumac,3023,Ramalina paludosa B. Moore,2158,Medium,Outdoor
Loasaceae,1101,Hairy Blazingstar,3546,Trifolium eriocephalum Nutt. ssp. cascadense J.M. Gillett,2159,Large,Landscape
Ericaceae,1063,Stanford's Manzanita,3354,Lyonothamnus floribundus A. Gray,2160,Large,Indoor
Acanthaceae,1000,Starhorn,3007,Cercocarpus traskiae Eastw.,2161,Small,Indoor
Hydrophyllaceae,1083,Kaweah River Phacelia,3470,Eustoma exaltatum (L.) Salisb. ex G. Don,2162,Large,Indoor
Poaceae,1140,Prairie Sandreed,3703,Usnea cavernosa Tuck.,2163,Medium,Indoor
Polygonaceae,1143,Annual Buckwheat,3736,Cymopterus minimus (Mathias) Mathias,2164,Medium,Landscape
Asteraceae,1020,Hairy False Goldenaster,3096,Chamaecytisus Link,2165,Large,Outdoor
Liliaceae,1098,Starry False Lily Of The Valley,3536,Adenostoma fasciculatum Hook. & Arn. var. obtusifolium S. Watson,2166,Medium,Landscape
Fagaceae,1067,Bartram Oak,3435,Anthemis L.,2167,Medium,Outdoor
Bartramiaceae,1021,Bartramidula Moss,3157,Erigeron versicolor (Greenm.) G.L. Nesom,2168,Large,Landscape
Boraginaceae,1025,Showy Stickseed,3178,Eriogonum dasyanthemum Torr. & A. Gray,2169,Medium,Landscape
Poaceae,1140,Wheatgrass,3717,Solanum xanti A. Gray var. xanti,2170,Large,Landscape
Lecanoraceae,1093,Rim Lichen,3513,Paspalidium chapmanii (Vasey) Pohl,2171,Small,Indoor
Fabaceae,1066,Stinking Milkvetch,3424,Rosa laevigata Michx.,2172,Medium,Landscape
Fagaceae,1067,Fernow Oak,3439,Carex cherokeensis Schwein.,2173,Small,Indoor
Liliaceae,1098,Glossyseed Yellow Star-grass,3522,Elatine chilensis A. Gray,2174,Small,Outdoor
Polytrichaceae,1145,Bartramiopsis Moss,3755,Callistephus chinensis (L.) Nees,2175,Medium,Indoor
Chenopodiaceae,1041,Wheelscale Saltbush,3268,Lycium chinense Mill.,2176,Large,Indoor
Asteraceae,1020,Rattlesnakeroot,3121,Pinus massoniana Lamb.,2177,Large,Indoor
Polypodiaceae,1144,Arizona Scaly Polypody,3752,Alocasia cucullata (Lour.) G. Don,2178,Small,Landscape
Asteraceae,1020,Coulter's Brickellbush,3074,Canarium album (Lour.) Rausch.,2179,Small,Outdoor
Asteraceae,1020,Shrubby Alkaliaster,3130,Rumex orthoneurus Rech. f.,2180,Small,Outdoor
Scrophulariaceae,1167,Keckiella,3875,Gentianella wislizeni (Engelm.) J.M. Gillett,2181,Medium,Landscape
Asteraceae,1020,Woodland Lettuce,3152,Glandularia chiricahensis Umber,2182,Medium,Landscape
Caryophyllaceae,1039,Valley Schiedea,3257,Limosella pubiflora Pennell,2183,Small,Outdoor
Sapindaceae,1165,Basketwood,3853,Flyriella parryi (A. Gray) R.M. King & H. Rob.,2184,Large,Indoor
Viscaceae,1192,Dwarf Mistletoe,3947,Lechea mensalis Hodgdon,2185,Large,Outdoor
Boraginaceae,1025,Cretan Viper's Bugloss,3166,Opuntia chisosensis (Anthony) D.J. Ferguson,2186,Medium,Landscape
Rubiaceae,1161,Intermountain Bedstraw,3834,Quercus gravesii Sudw.,2187,Small,Landscape
Lichinaceae,1097,Pyrenopsis Lichen,3518,Solorina octospora (Arnold) Arnold,2188,Small,Indoor
Lecanoraceae,1093,Rim Lichen,3513,Elymus churchii J.J.N. Campb.,2189,Large,Landscape
Cyperaceae,1053,Hairy Flatsedge,3310,Astragalus cimae M.E. Jones var. cimae,2190,Medium,Landscape
Brassicaceae,1027,Phoenicaulis,3199,Prosthechea cochleata (L.) W.E. Higgins var. cochleata,2191,Medium,Outdoor
Asteraceae,1020,Garden Cosmos,3088,Woodsia ×gracilis (G. Lawson) Butters,2192,Large,Indoor
Asteraceae,1020,Chamomile,3068,Cryptantha elata (Eastw.) Payson,2193,Medium,Indoor
Boraginaceae,1025,Forget-me-not,3167,Cliftonia Banks ex C.F. Gaertn.,2194,Medium,Indoor
Capparaceae,1037,Falseteeth,3238,Cuscuta epithymum (L.) L.,2195,Small,Indoor
Asteraceae,1020,Western Showy Aster,3148,Selaginella selaginoides (L.) P. Beauv. ex Mart. & Schrank,2196,Small,Landscape
Caryophyllaceae,1039,Stitchwort,3256,Ivesia lycopodioides A. Gray,2197,Medium,Landscape
Euphorbiaceae,1065,Variable Sandmat,3365,Castilleja affinis Hook. & Arn. ssp. affinis,2198,Medium,Landscape
Fabaceae,1066,Drew's Silky Lupine,3388,Suaeda tampicensis (Standl.) Standl.,2199,Small,Landscape
Rosaceae,1160,Baton Rouge Blackberry,3799,Deinandra corymbosa (DC.) B.G. Baldw.,2200,Small,Indoor
Sterculiaceae,1173,Theobroma,3906,Coffea L.,2201,Large,Indoor
Scrophulariaceae,1167,Snowqueen,3890,Ranunculus coloradensis (L.D. Benson) L.D. Benson,2202,Small,Outdoor
Polemoniaceae,1141,Yellow Woollystar,3733,Phoradendron macrophyllum (Engelm.) Cockerell ssp. macrophyllum,2203,Small,Outdoor
Fabaceae,1066,Snowy River Wattle,3421,Aquilegia L.,2204,Large,Indoor
Asteraceae,1020,Disc Mayweed,3076,Stellaria media (L.) Vill. ssp. neglecta (Weihe) Murb.,2205,Small,Indoor
Brassicaceae,1027,Alyssum,3186,Conardia compacta (Müll. Hal.) H. Rob.,2206,Medium,Outdoor
Apiaceae,1011,Mock Parsley,3031,Allium vineale L. ssp. compactum (Thuill.) Coss. & Germ.,2207,Medium,Landscape
Fabaceae,1066,Wilson's Milkvetch,3432,Astrothelium confusum Müll. Arg.,2208,Medium,Outdoor
Poaceae,1140,Small Japanese Silver Grass,3713,Barbula convoluta Hedw.,2209,Medium,Landscape
Ranunculaceae,1155,Oriental Virginsbower,3784,Eucalyptus microtheca F. Muell.,2210,Medium,Outdoor
Nyctaginaceae,1120,Hairy Four O'clock,3588,Copaifera L.,2211,Large,Indoor
Brassicaceae,1027,Serpentine Bittercress,3202,Ipomopsis ramosa Al Schneid. & Bregar,2212,Large,Indoor
Pedaliaceae,1131,Desert Unicorn-plant,3645,Symphoricarpos orbiculatus Moench,2213,Small,Outdoor
Lamiaceae,1091,Origanum,3500,Corymbia K.D. Hill & L.A.S. Johnson,2214,Large,Outdoor
Fabaceae,1066,Derris,3385,Capparis corymbosa Lam.,2215,Small,Indoor
Onagraceae,1122,Beaked Clarkia,3596,Tanacetum balsamita L.,2216,Medium,Landscape
Lecanoraceae,1093,Rim Lichen,3513,Cottea Kunth,2217,Medium,Indoor
Asclepiadaceae,1018,Bear Mountain Milkweed,3053,Brickellia coulteri A. Gray,2218,Small,Outdoor
Agavaceae,1003,Agave,3012,Acarospora aeruginosa Hasse,2219,Large,Outdoor
Brassicaceae,1027,Golden Bladderpod,3193,Vaccinium crassifolium Andrews ssp. crassifolium,2220,Large,Outdoor
Asteraceae,1020,Changing Fleabane,3069,Echium creticum L.,2221,Large,Indoor
Myrtaceae,1117,Shining Gum,3581,Polygala penaea L.,2222,Small,Indoor
Rubiaceae,1161,Fevertree,3833,Cyperus tenuis Sw.,2223,Medium,Indoor
Pleomassariaceae,1139,Eopyrenula Lichen,3659,Crocynia pyxinoides Nyl.,2224,Small,Landscape
Polygonaceae,1143,Slender Woolly Buckwheat,3747,Porpidia crustulata (Ach.) Hertel & Knoph,2225,Small,Outdoor
Poaceae,1140,Wimmera Ryegrass,3719,Umbilicaria crustulosa (Ach.) Frey,2226,Large,Outdoor
Simmondsiaceae,1169,Jojoba,3897,Laetia procera (Poepp.) Eichl.,2227,Medium,Outdoor
Chenopodiaceae,1041,Dysphania,3263,Cladonia pachycladodes Vain.,2228,Small,Indoor
Asteraceae,1020,Eared Indian Plantain,3079,Cladonia humilis (With.) J.R. Laundon,2229,Small,Outdoor
Salicaceae,1164,Eared Willow,3851,Cladonia gracilis (L.) Willd. ssp. gracilis,2230,Large,Indoor
Solorinellaceae,1171,Solorinella Lichen,3903,Ranunculus sceleratus L. var. multifidus Nutt.,2231,Medium,Outdoor
Brassicaceae,1027,Fewflower Draba,3189,Scleria pauciflora Muhl. ex Willd. var. curtissii (Britton) Fairey,2232,Medium,Landscape
Fabaceae,1066,Piedmont Breadroot,3411,Eurystyles Wawra,2233,Medium,Indoor
Thymelaeaceae,1181,Variableleaf False Ohelo,3915,Penstemon richardsonii Douglas ex Lindl. var. dentatus (D.D. Keck) Cronquist,2234,Medium,Outdoor
Hymeneliaceae,1084,Rimmed Lichen,3477,Dichanthelium dichotomum (L.) Gould var. breve (Hitchc. & Chase) Gould & C.A. Clark,2235,Small,Outdoor
Asteraceae,1020,Golden-yarrow,3091,Arctostaphylos tomentosa (Pursh) Lindl. ssp. daciticola P.V. Wells,2236,Medium,Landscape
Asteraceae,1020,Ironweed,3102,Quercus dentata Thunb.,2237,Medium,Indoor
Parmeliaceae,1129,Beard Lichen,3631,Chrysanthemum majus (Desf.) Asch.,2238,Medium,Indoor
Ranunculaceae,1155,Cursed Buttercup,3781,Campanula glomerata L.,2239,Small,Outdoor
Asteraceae,1020,Hairy Goldenrod,3097,Lotus nevadensis (S. Watson) Greene var. davidsonii (Greene) Isely,2240,Small,Landscape
Scrophulariaceae,1167,Hairy Indian Paintbrush,3873,Derris Lour.,2241,Small,Indoor
Nyctaginaceae,1120,Southwestern Ringstem,3590,Ceanothus greggii A. Gray,2242,Medium,Indoor
Rosaceae,1160,Strawberry,3827,Rosa stellata Wooton ssp. stellata,2243,Large,Outdoor
Scrophulariaceae,1167,Parry's Beardtongue,3882,Camissonia boothii (Douglas ex Lehm.) P.H. Raven ssp. desertorum (Munz) P.H. Raven,2244,Medium,Indoor
